wavelength, transmission
300.0, 0.2708
315.1, 0.2769
327.8, 0.3101
336.9, 0.3389
339.9, 0.3449
344.4, 0.3132
347.4, 0.2814
351.2, 0.2648
357.2, 0.2496
364.0, 0.2421
371.5, 0.2481
399.4, 0.3873
411.4, 0.4266
424.9, 0.4856
440.8, 0.5643
457.3, 0.6218
476.1, 0.7095
497.2, 0.7534
507.7, 0.8003
518.3, 0.7610
529.6, 0.8533
545.4, 0.8820
567.2, 0.9047
591.3, 0.9304
603.3, 0.9153
613.9, 0.9531
649.2, 0.9440
661.3, 0.9470
668.1, 0.9274
677.8, 0.8820
685.4, 0.8941
698.9, 0.9713
701.9, 0.9773
708.0, 0.9682
710.2, 0.9440
716.2, 0.8139
723.0, 0.5734
729.0, 0.3767
735.1, 0.2995
739.6, 0.2587
744.8, 0.2284
753.9, 0.1467
760.6, 0.09077
768.9, 0.06657
778.7, 0.06354
788.5, 0.06959
799.8, 0.05749
817.1, 0.04539
832.2, 0.04992
846.5, 0.05295
878.1, 0.04085
888.6, 0.05446
893.1, 0.09380
900.6, 0.05446
918.0, 0.03933
939.0, 0.04085
962.4, 0.04539
975.2, 0.05749
997.7, 0.05295
